destination,destination_type,preferred_climate,distance,budget,food_preference,activity_preference
Gir,Forest,Tropical,Long,Low,Veg,Trekking
Mandawa,Desert,Cool,Short,Low,Vegan,Camping
Rann of Kutch,Desert,Moderate,Medium,High,Vegan,Photography
Delhi,City,Dry,Medium,Medium,Vegan,Relaxing
Kovalam,Beach,Tropical,Medium,High,Veg,Trekking
Agra Fort,Fort,Cool,Long,High,Non-Veg,Adventure Sports
Gokarna,Beach,Cool,Medium,Medium,Veg,Relaxing
Jaisalmer,Fort,Dry,Short,Medium,Veg,Wildlife Safari
Khimsar,Desert,Cool,Short,High,Vegan,Wildlife Safari
Bikaner,Desert,Cool,Short,High,Vegan,Trekking
Periyar,Forest,Moderate,Medium,Low,Vegan,Trekking
Lonavala,Hill Station,Tropical,Medium,Low,Jain,Trekking
Radhanagar,Beach,Moderate,Long,High,Veg,Camping
Dudhsagar,Waterfall,Cool,Short,Low,Jain,Photography
Kune,Waterfall,Dry,Long,Medium,Veg,Sightseeing
Nohkalikai,Waterfall,Moderate,Long,Low,Jain,Photography
Hogenakkal,Waterfall,Cool,Short,Medium,Jain,Trekking
Athirappilly,Waterfall,Tropical,Medium,Medium,Vegan,Sightseeing
Lonavala,Hill Station,Tropical,Short,Medium,Non-Veg,Adventure Sports
Munnar,Hill Station,Cool,Medium,Medium,Veg,Sightseeing
Gir,Forest,Cool,Medium,Low,Vegan,Camping
Chittorgarh,Fort,Dry,Long,High,Veg,Camping
Bikaner,Desert,Cool,Long,Low,Jain,Wildlife Safari
Sundarbans,Forest,Tropical,Medium,Low,Jain,Photography
Hogenakkal,Waterfall,Tropical,Long,Medium,Non-Veg,Wildlife Safari
Radhanagar,Beach,Tropical,Long,Low,Veg,Sightseeing
Dudhsagar,Waterfall,Moderate,Medium,Low,Veg,Photography
Agra Fort,Fort,Dry,Long,High,Veg,Camping
Pune,City,Cool,Short,Low,Non-Veg,Trekking
Kanha,Forest,Tropical,Medium,High,Veg,Sightseeing
Mount Abu,Hill Station,Dry,Long,Low,Non-Veg,Relaxing
Manali,Hill Station,Cool,Short,Low,Vegan,Camping
Hogenakkal,Waterfall,Cool,Medium,High,Non-Veg,Wildlife Safari
Raigad,Fort,Tropical,Medium,Low,Jain,Camping
Jaisalmer,Desert,Dry,Medium,Low,Jain,Adventure Sports
Bhimlat,Waterfall,Tropical,Long,High,Jain,Photography
Sinhagad,Fort,Tropical,Medium,High,Non-Veg,Photography
Khimsar,Desert,Dry,Short,Low,Vegan,Sightseeing
Goa,Beach,Dry,Long,High,Jain,Sightseeing
Kanha,Forest,Tropical,Short,Low,Vegan,Photography
Puri,Beach,Tropical,Medium,Medium,Non-Veg,Sightseeing
Mount Abu,Hill Station,Moderate,Long,Low,Jain,Adventure Sports
Radhanagar,Beach,Dry,Long,High,Jain,Adventure Sports
Athirappilly,Waterfall,Moderate,Medium,Low,Veg,Adventure Sports
Amber,Fort,Tropical,Medium,Medium,Non-Veg,Wildlife Safari
Shimla,Hill Station,Tropical,Long,Low,Veg,Photography
Chittorgarh,Fort,Cool,Short,High,Non-Veg,Relaxing
Shimla,Hill Station,Cool,Short,Medium,Veg,Sightseeing
Kaziranga,Forest,Tropical,Short,Medium,Vegan,Trekking
Nainital,Hill Station,Moderate,Medium,Medium,Jain,Camping
Golconda,Fort,Cool,Medium,Medium,Veg,Trekking
Barmer,Desert,Tropical,Short,Low,Non-Veg,Photography
Radhanagar,Beach,Cool,Long,High,Jain,Adventure Sports
Chennai,City,Cool,Short,Medium,Jain,Wildlife Safari
Osian,Desert,Moderate,Short,Low,Veg,Camping
Munnar,Hill Station,Tropical,Medium,Medium,Non-Veg,Adventure Sports
Agra Fort,Fort,Tropical,Long,High,Non-Veg,Camping
Shimla,Hill Station,Tropical,Medium,High,Vegan,Photography
Marina,Beach,Moderate,Short,Low,Non-Veg,Relaxing
Gokarna,Beach,Cool,Short,Medium,Vegan,Trekking
Agra Fort,Fort,Tropical,Long,High,Vegan,Camping
Bandipur,Forest,Cool,Medium,Low,Non-Veg,Photography
Sinhagad,Fort,Cool,Long,Medium,Jain,Adventure Sports
Goa,Beach,Dry,Medium,High,Non-Veg,Trekking
Kune,Waterfall,Cool,Medium,Low,Non-Veg,Camping
Manali,Hill Station,Cool,Medium,Low,Non-Veg,Camping
Bikaner,Desert,Tropical,Long,Low,Veg,Photography
Kovalam,Beach,Tropical,Short,High,Vegan,Trekking
Jaisalmer,Desert,Tropical,Short,High,Non-Veg,Adventure Sports
Khimsar,Desert,Dry,Short,Medium,Jain,Wildlife Safari
Kolkata,City,Cool,Long,High,Jain,Trekking
Mount Abu,Hill Station,Dry,Long,Low,Veg,Trekking
Hyderabad,City,Cool,Short,High,Vegan,Wildlife Safari
Chennai,City,Cool,Long,Low,Non-Veg,Photography
Alibaug,Beach,Moderate,Short,High,Vegan,Photography
Mount Abu,Hill Station,Tropical,Long,High,Veg,Relaxing
Ahmedabad,City,Cool,Long,Medium,Jain,Wildlife Safari
Kaziranga,Forest,Moderate,Medium,Low,Jain,Sightseeing
Goa,Beach,Cool,Medium,Low,Veg,Sightseeing
Gwalior,Fort,Cool,Short,Low,Non-Veg,Photography
Hebbe,Waterfall,Tropical,Medium,Low,Veg,Photography
Alibaug,Beach,Tropical,Long,Medium,Vegan,Relaxing
Varkala,Beach,Cool,Short,Medium,Non-Veg,Wildlife Safari
Amber,Fort,Cool,Short,Medium,Veg,Photography
Sundarbans,Forest,Tropical,Long,Low,Non-Veg,Photography
Kune,Waterfall,Dry,Medium,Low,Jain,Adventure Sports
Mount Abu,Hill Station,Cool,Long,Low,Non-Veg,Relaxing
Alibaug,Beach,Dry,Short,Low,Vegan,Adventure Sports
Mandawa,Desert,Tropical,Medium,Low,Vegan,Sightseeing
