destination,destination_type,preferred_climate,distance,budget,food_preference,activity_preference
Jaisalmer,Desert,Hot,Long,High,Non-Veg,Adventure
Jaisalmer,Desert,Hot,Long,High,Veg,Relaxing
Pondicherry,Beach,Tropical,Long,High,Veg,Cultural
Udaipur,City,Hot,Medium,Low,Vegan,Cultural
Ladakh,Mountains,Cold,Long,Low,Vegan,Relaxing
Manali,Mountains,Cold,Long,High,Vegan,Nightlife
Ladakh,Mountains,Cold,Long,High,Vegan,Nightlife
Ladakh,Mountains,Cold,Long,Low,Non-Veg,Nightlife
Delhi,City,Temperate,Medium,Medium,Veg,Nightlife
Delhi,City,Temperate,Medium,High,Vegan,Cultural
Rishikesh,Mountains,Temperate,Medium,Low,Veg,Nightlife
Jaisalmer,Desert,Hot,Long,Low,Veg,Cultural
Rishikesh,Mountains,Temperate,Medium,Low,Veg,Cultural
Jaisalmer,Desert,Hot,Long,Low,Vegan,Cultural
Munnar,Forest,Tropical,Long,Low,Veg,Adventure
Pondicherry,Beach,Tropical,Long,Medium,Vegan,Relaxing
Shimla,Mountains,Cold,Medium,Low,Non-Veg,Relaxing
Ladakh,Mountains,Cold,Long,High,Non-Veg,Cultural
Rishikesh,Mountains,Temperate,Medium,Medium,Non-Veg,Relaxing
Udaipur,City,Hot,Medium,Medium,Veg,Nightlife
Udaipur,City,Hot,Medium,Medium,Non-Veg,Relaxing
Pondicherry,Beach,Tropical,Long,Medium,Non-Veg,Cultural
Goa,Beach,Tropical,Medium,High,Non-Veg,Cultural
Delhi,City,Temperate,Medium,Medium,Veg,Adventure
Pondicherry,Beach,Tropical,Long,High,Non-Veg,Adventure
Ladakh,Mountains,Cold,Long,High,Veg,Nightlife
Udaipur,City,Hot,Medium,Medium,Non-Veg,Adventure
Udaipur,City,Hot,Medium,Low,Vegan,Cultural
Pondicherry,Beach,Tropical,Long,Medium,Veg,Adventure
Pondicherry,Beach,Tropical,Long,High,Vegan,Nightlife
Munnar,Forest,Tropical,Long,Medium,Vegan,Relaxing
Goa,Beach,Tropical,Medium,Low,Non-Veg,Adventure
Delhi,City,Temperate,Medium,Medium,Veg,Relaxing
Ladakh,Mountains,Cold,Long,Medium,Vegan,Cultural
Munnar,Forest,Tropical,Long,High,Vegan,Cultural
Pondicherry,Beach,Tropical,Long,High,Vegan,Adventure
Pondicherry,Beach,Tropical,Long,Medium,Vegan,Nightlife
Delhi,City,Temperate,Medium,Low,Non-Veg,Cultural
Goa,Beach,Tropical,Medium,High,Vegan,Nightlife
Manali,Mountains,Cold,Long,Medium,Non-Veg,Adventure
Munnar,Forest,Tropical,Long,Medium,Vegan,Cultural
Pondicherry,Beach,Tropical,Long,Low,Veg,Nightlife
Pondicherry,Beach,Tropical,Long,High,Vegan,Relaxing
Shimla,Mountains,Cold,Medium,High,Non-Veg,Nightlife
Ladakh,Mountains,Cold,Long,Medium,Veg,Nightlife
Munnar,Forest,Tropical,Long,High,Veg,Adventure
Munnar,Forest,Tropical,Long,Medium,Vegan,Relaxing
Ladakh,Mountains,Cold,Long,Medium,Vegan,Nightlife
Udaipur,City,Hot,Medium,Medium,Non-Veg,Nightlife
Ladakh,Mountains,Cold,Long,High,Veg,Cultural
Munnar,Forest,Tropical,Long,Low,Veg,Adventure
Shimla,Mountains,Cold,Medium,High,Non-Veg,Adventure
Jaisalmer,Desert,Hot,Long,Low,Non-Veg,Nightlife
Delhi,City,Temperate,Medium,Medium,Veg,Cultural
Manali,Mountains,Cold,Long,Medium,Vegan,Relaxing
Delhi,City,Temperate,Medium,Low,Veg,Relaxing
Rishikesh,Mountains,Temperate,Medium,Low,Veg,Nightlife
Manali,Mountains,Cold,Long,High,Veg,Nightlife
Ladakh,Mountains,Cold,Long,Low,Non-Veg,Adventure
Ladakh,Mountains,Cold,Long,Low,Vegan,Adventure
Rishikesh,Mountains,Temperate,Medium,High,Non-Veg,Relaxing
Rishikesh,Mountains,Temperate,Medium,High,Non-Veg,Adventure
Manali,Mountains,Cold,Long,High,Veg,Relaxing
Munnar,Forest,Tropical,Long,High,Non-Veg,Cultural
Jaisalmer,Desert,Hot,Long,Low,Veg,Cultural
Jaisalmer,Desert,Hot,Long,High,Veg,Relaxing
Shimla,Mountains,Cold,Medium,Low,Non-Veg,Nightlife
Goa,Beach,Tropical,Medium,High,Vegan,Nightlife
Pondicherry,Beach,Tropical,Long,High,Non-Veg,Adventure
Delhi,City,Temperate,Medium,High,Vegan,Adventure
Goa,Beach,Tropical,Medium,Low,Vegan,Adventure
Delhi,City,Temperate,Medium,Medium,Non-Veg,Adventure
Ladakh,Mountains,Cold,Long,Low,Vegan,Nightlife
