destination,destination_type,preferred_climate,distance,budget,food_preference,activity_preference,best_months,top_places_to_visit,local_food_specialty
Gir,Forest,Tropical,Long,Low,Veg,Trekking,Nov-Feb,"Gir National Park, Devalia Safari Park",Kathiyawadi Thali
Mandawa,Desert,Cool,Short,Low,Vegan,Camping,Oct-Mar,"Mandawa Fort, Havelis",Dal Baati Churma
Rann of Kutch,Desert,Moderate,Medium,High,Vegan,Photography,Nov-Feb,"White Desert, Kalo Dungar",Kutchi Dabeli
Delhi,City,Dry,Medium,Medium,Vegan,Relaxing,Oct-Mar,"India Gate, Qutub Minar, Red Fort",Chole Bhature
Kovalam,Beach,Tropical,Medium,High,Veg,Trekking,Nov-Feb,"Lighthouse Beach, Hawah Beach",Kerala Sadya
Agra Fort,Fort,Cool,Long,High,Non-Veg,Adventure Sports,Oct-Mar,Main Attractions,Regional Specialties
Gokarna,Beach,Cool,Medium,Medium,Veg,Relaxing,Oct-Mar,Main Attractions,Regional Specialties
Jaisalmer,Fort,Dry,Short,Medium,Veg,Wildlife Safari,Oct-Mar,Main Attractions,Regional Specialties
Khimsar,Desert,Cool,Short,High,Vegan,Wildlife Safari,Oct-Mar,Main Attractions,Regional Specialties
Bikaner,Desert,Cool,Short,High,Vegan,Trekking,Oct-Mar,Main Attractions,Regional Specialties
Periyar,Forest,Moderate,Medium,Low,Vegan,Trekking,Oct-Mar,Main Attractions,Regional Specialties
Lonavala,Hill Station,Tropical,Medium,Low,Jain,Trekking,Oct-Mar,Main Attractions,Regional Specialties
Radhanagar,Beach,Moderate,Long,High,Veg,Camping,Oct-Mar,Main Attractions,Regional Specialties
Dudhsagar,Waterfall,Cool,Short,Low,Jain,Photography,Oct-Mar,Main Attractions,Regional Specialties
Kune,Waterfall,Dry,Long,Medium,Veg,Sightseeing,Oct-Mar,Main Attractions,Regional Specialties
Nohkalikai,Waterfall,Moderate,Long,Low,Jain,Photography,Oct-Mar,Main Attractions,Regional Specialties
Hogenakkal,Waterfall,Cool,Short,Medium,Jain,Trekking,Oct-Mar,Main Attractions,Regional Specialties
Athirappilly,Waterfall,Tropical,Medium,Medium,Vegan,Sightseeing,Oct-Mar,Main Attractions,Regional Specialties
Lonavala,Hill Station,Tropical,Short,Medium,Non-Veg,Adventure Sports,Oct-Mar,Main Attractions,Regional Specialties
Munnar,Hill Station,Cool,Medium,Medium,Veg,Sightseeing,Oct-Mar,Main Attractions,Regional Specialties
Gir,Forest,Cool,Medium,Low,Vegan,Camping,Nov-Feb,"Gir National Park, Devalia Safari Park",Kathiyawadi Thali
Chittorgarh,Fort,Dry,Long,High,Veg,Camping,Oct-Mar,Main Attractions,Regional Specialties
Bikaner,Desert,Cool,Long,Low,Jain,Wildlife Safari,Oct-Mar,Main Attractions,Regional Specialties
